Name,SAT Critical Reading 25th percentile score,SAT Math 25th percentile score,SAT Writing 25th percentile score,ACT Composite 25th percentile score
North Greenville University,450.0,470.0,440.0,21.0
University of South Carolina-Aiken,430.0,440.0,410.0,18.0
Wofford College,540.0,540.0,520.0,24.0
Black Hills State University,423.0,430.0,408.0,19.0
Presentation College,380.0,410.0,340.0,18.0
University of Sioux Falls,400.0,410.0,430.0,20.0
Bryan College-Dayton,450.0,470.0,460.0,20.0
Cumberland University,420.0,430.0,420.0,19.0
Fisk University,420.0,430.0,420.0,17.0
Lane College,360.0,280.0,640.0,13.0
University of Memphis,450.0,460.0,450.0,19.0
Milligan College,480.0,460.0,450.0,22.0
Sewanee-The University of the South,580.0,560.0,570.0,26.0
Southern Adventist University,470.0,450.0,460.0,20.0
Vanderbilt University,700.0,710.0,680.0,32.0
Abilene Christian University,470.0,490.0,450.0,21.0
Austin College,540.0,560.0,520.0,23.0
Baylor University,550.0,570.0,530.0,24.0
Texas A & M University-Corpus Christi,420.0,450.0,400.0,17.0
University of Dallas,550.0,540.0,530.0,24.0
Texas A & M University-Texarkana,430.0,460.0,410.0,19.0
Hardin-Simmons University,450.0,480.0,430.0,20.0
Houston Baptist University,470.0,490.0,450.0,21.0
Lubbock Christian University,440.0,450.0,420.0,19.0
University of Mary Hardin-Baylor,460.0,480.0,430.0,21.0
Midwestern State University,440.0,460.0,420.0,19.0
The University of Texas-Pan American,410.0,440.0,400.0,18.0
Paul Quinn College,360.0,360.0,380.0,13.0
Prairie View A & M University,370.0,380.0,360.0,15.0
Rice University,670.0,700.0,670.0,31.0
Saint Edward's University,510.0,510.0,490.0,22.0
University of St Thomas,490.0,510.0,483.0,23.0
Schreiner University,430.0,450.0,420.0,19.0
St Mary's University,470.0,480.0,450.0,21.0
Southern Methodist University,600.0,620.0,590.0,27.0
Stephen F Austin State University,430.0,460.0,420.0,19.0
Texas State University,460.0,480.0,440.0,21.0
Sul Ross State University,360.0,380.0,360.0,15.0
Tarleton State University,430.0,450.0,410.0,19.0
Texas A & M University-College Station,520.0,550.0,490.0,23.0
The University of Texas at Arlington,460.0,500.0,450.0,20.0
The University of Texas at Austin,550.0,590.0,550.0,25.0
The University of Texas at Tyler,470.0,490.0,450.0,21.0
Texas Christian University,540.0,550.0,540.0,25.0
Texas Lutheran University,450.0,480.0,430.0,20.0
The University of Texas at San Antonio,450.0,490.0,440.0,20.0
Texas Southern University,370.0,380.0,350.0,15.0
Texas Tech University,490.0,520.0,470.0,22.0
Texas Wesleyan University,460.0,480.0,423.0,19.0
Texas Woman's University,410.0,430.0,400.0,17.0
Wayland Baptist University,400.0,410.0,370.0,17.0
Southern Utah University,470.0,460.0,440.0,20.0
University of Utah,483.0,500.0,480.0,21.0
Castleton State College,420.0,430.0,410.0,17.0
Champlain College,500.0,490.0,490.0,22.0
Johnson State College,430.0,410.0,420.0,15.0
Lyndon State College,410.0,400.0,400.0,18.0
Middlebury College,630.0,640.0,650.0,31.0
Saint Michael's College,530.0,530.0,530.0,23.0
College of St Joseph,335.0,370.0,325.0,16.0
Southern Vermont College,400.0,390.0,400.0,16.0
Vermont Technical College,410.0,430.0,400.0,16.0
University of Vermont,540.0,540.0,540.0,24.0
Averett University,420.0,420.0,380.0,17.0
Bridgewater College,460.0,470.0,430.0,20.0
College of William and Mary,640.0,630.0,620.0,28.0
Emory & Henry College,430.0,450.0,410.0,18.0
Eastern Mennonite University,433.0,430.0,423.0,18.0
Ferrum College,390.0,390.0,370.0,14.0
Hampden-Sydney College,495.0,510.0,480.0,22.0
Lynchburg College,450.0,440.0,440.0,19.0
Mary Baldwin College,430.0,400.0,410.0,18.0
University of Mary Washington,510.0,500.0,490.0,22.0
Marymount University,470.0,460.0,460.0,20.0
Norfolk State University,400.0,400.0,380.0,16.0
Radford University,450.0,450.0,440.0,18.0
Randolph-Macon College,490.0,490.0,480.0,21.0
Randolph College,490.0,480.0,480.0,21.0
University of Richmond,590.0,620.0,600.0,28.0
Roanoke College,490.0,490.0,490.0,21.0
Shenandoah University,440.0,450.0,430.0,19.0
Southern Virginia University,460.0,458.0,440.0,17.0
The University of Virginia's College at Wise,430.0,430.0,410.0,17.0
Virginia Commonwealth University,500.0,500.0,490.0,21.0
University of Virginia-Main Campus,620.0,630.0,620.0,29.0
Virginia Military Institute,520.0,530.0,490.0,22.0
Virginia State University,370.0,360.0,360.0,15.0
Washington and Lee University,650.0,660.0,650.0,30.0
Central Washington University,430.0,450.0,420.0,18.0
Eastern Washington University,420.0,430.0,410.0,18.0
The Evergreen State College,500.0,450.0,460.0,20.0
Northwest University,480.0,470.0,480.0,19.0
Pacific Lutheran University,490.0,490.0,470.0,22.0
University of Puget Sound,570.0,550.0,550.0,25.0
Saint Martin's University,470.0,480.0,460.0,19.0
Seattle Pacific University,520.0,510.0,500.0,23.0
Seattle University,520.0,530.0,520.0,24.0
Walla Walla University,460.0,460.0,450.0,20.0
Washington State University,450.0,460.0,440.0,19.0
University of Washington-Seattle Campus,520.0,580.0,530.0,25.0
Whitman College,610.0,610.0,608.0,28.0
Alderson Broaddus University,420.0,450.0,400.0,19.0
Bethany College,380.0,390.0,370.0,17.0
Bluefield State College,410.0,420.0,370.0,17.0
Concord University,430.0,420.0,410.0,18.0
Marshall University,450.0,430.0,430.0,20.0
Ohio Valley University,410.0,400.0,410.0,19.0
West Virginia State University,405.0,370.0,370.0,18.0
West Liberty University,400.0,430.0,380.0,18.0
West Virginia Wesleyan College,432.0,440.0,420.0,20.0
Wheeling Jesuit University,460.0,450.0,448.0,20.0
Concordia University-Wisconsin,424.0,456.0,383.0,20.0
Lakeland College,410.0,420.0,420.0,19.0
Maranatha Baptist University,455.0,420.0,445.0,20.0
Marquette University,520.0,550.0,520.0,25.0
Mount Mary University,468.0,473.0,370.0,17.0
Silver Lake College of the Holy Family,438.0,455.0,428.0,17.0
University of Wisconsin-Whitewater,470.0,470.0,470.0,20.0
University of Wisconsin-Madison,530.0,630.0,580.0,26.0
Stanford University,680.0,700.0,690.0,31.0
Purdue University-Main Campus,520.0,560.0,520.0,24.0
New College of Florida,620.0,570.0,590.0,27.0
University of Washington-Bothell Campus,430.0,460.0,420.0,19.0
University of Washington-Tacoma Campus,410.0,430.0,410.0,17.0
Soka University of America,500.0,580.0,540.0,25.0
Florida Gulf Coast University,470.0,470.0,460.0,20.0
Ave Maria University,460.0,470.0,460.0,20.0
University of South Florida-St Petersburg,490.0,490.0,470.0,21.0
University of South Florida-Sarasota-Manatee,502.0,490.0,490.0,22.0
The Kingâ€™s College,540.0,510.0,520.0,24.0
