Name,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,SAT Writing 75th percentile score,ACT Composite 75th percentile score
The University of Alabama,620.0,640.0,600.0,30.0
Auburn University,620.0,650.0,620.0,30.0
Judson College,640.0,600.0,610.0,24.0
University of Montevallo,613.0,550.0,580.0,26.0
Samford University,630.0,610.0,610.0,28.0
University of South Alabama,550.0,565.0,520.0,26.0
Spring Hill College,600.0,600.0,610.0,27.0
Alaska Pacific University,575.0,510.0,568.0,24.0
University of Arizona,600.0,630.0,590.0,27.0
Embry-Riddle Aeronautical University-Prescott,630.0,650.0,600.0,29.0
Northern Arizona University,580.0,580.0,560.0,25.0
Prescott College,640.0,600.0,580.0,30.0
Lyon College,600.0,610.0,600.0,28.0
University of Arkansas at Pine Bluff,430.0,493.0,430.0,20.0
Arkansas State University-Main Campus,515.0,548.0,478.0,26.0
Arkansas Tech University,490.0,520.0,490.0,25.0
Central Baptist College,590.0,670.0,620.0,23.0
John Brown University,640.0,640.0,610.0,28.0
University of Arkansas-Fort Smith,540.0,620.0,550.0,25.0
Biola University,620.0,620.0,620.0,27.0
California Baptist University,550.0,560.0,540.0,24.0
California Institute of Technology,800.0,800.0,790.0,35.0
University of California-Berkeley,720.0,770.0,750.0,33.0
University of California-Davis,640.0,680.0,650.0,29.0
University of California-Irvine,600.0,670.0,620.0,27.0
University of California-Los Angeles,680.0,760.0,710.0,31.0
University of California-Riverside,580.0,630.0,590.0,25.0
University of California-San Diego,660.0,730.0,690.0,31.0
University of California-Santa Barbara,650.0,690.0,660.0,29.0
University of California-Santa Cruz,610.0,620.0,610.0,26.0
Chapman University,640.0,660.0,650.0,29.0
Concordia University-Irvine,550.0,560.0,550.0,25.0
San Diego Christian College,570.0,550.0,530.0,22.0
Claremont McKenna College,740.0,760.0,750.0,33.0
Dominican University of California,570.0,590.0,580.0,25.0
Fresno Pacific University,550.0,550.0,550.0,22.0
Harvey Mudd College,760.0,800.0,760.0,35.0
University of La Verne,550.0,580.0,560.0,25.0
La Sierra University,510.0,530.0,520.0,22.0
Loyola Marymount University,640.0,650.0,650.0,29.0
Menlo College,532.0,565.0,513.0,25.0
Mills College,640.0,610.0,620.0,28.0
Notre Dame de Namur University,550.0,560.0,510.0,22.0
Occidental College,700.0,700.0,700.0,31.0
Hope International University,538.0,528.0,530.0,22.0
Pacific Union College,570.0,580.0,560.0,25.0
University of the Pacific,640.0,680.0,640.0,29.0
Pomona College,760.0,780.0,780.0,34.0
University of San Francisco,630.0,640.0,630.0,27.0
Scripps College,733.0,720.0,750.0,32.0
Simpson University,570.0,580.0,560.0,23.0
Saint Mary's College of California,600.0,610.0,610.0,27.0
University of Southern California,720.0,760.0,750.0,33.0
Thomas Aquinas College,700.0,640.0,690.0,31.0
Westmont College,650.0,660.0,650.0,29.0
Whittier College,570.0,580.0,580.0,25.0
Adams State University,533.0,550.0,530.0,22.0
Colorado College,710.0,720.0,700.0,32.0
