Name,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,SAT Writing 75th percentile score,ACT Composite 75th percentile score
Colorado School of Mines,670.0,720.0,650.0,31.0
University of Denver,660.0,660.0,630.0,30.0
University of Bridgeport,500.0,510.0,500.0,22.0
Central Connecticut State University,540.0,560.0,550.0,25.0
Eastern Connecticut State University,550.0,550.0,560.0,24.0
University of New Haven,550.0,580.0,560.0,25.0
Quinnipiac University,580.0,610.0,590.0,27.0
Southern Connecticut State University,510.0,510.0,530.0,22.0
Trinity College,680.0,670.0,673.0,29.0
Wesleyan University,740.0,740.0,750.0,33.0
Yale University,800.0,790.0,800.0,35.0
Delaware State University,480.0,490.0,470.0,19.0
University of Delaware,630.0,650.0,630.0,29.0
Wesley College,470.0,475.0,455.0,23.0
American University,690.0,660.0,680.0,30.0
George Washington University,690.0,700.0,700.0,31.0
Howard University,590.0,590.0,580.0,26.0
Barry University,520.0,520.0,490.0,21.0
Lynn University,520.0,530.0,510.0,22.0
University of Central Florida,630.0,640.0,610.0,28.0
Edward Waters College,440.0,440.0,430.0,18.0
Embry-Riddle Aeronautical University-Daytona Beach,590.0,640.0,580.0,27.0
Florida Agricultural and Mechanical University,520.0,510.0,490.0,22.0
Florida Atlantic University,560.0,570.0,560.0,24.0
Flagler College-St Augustine,580.0,580.0,570.0,25.0
Florida International University,620.0,610.0,600.0,27.0
Florida Southern College,590.0,590.0,580.0,27.0
Florida State University,640.0,640.0,640.0,29.0
University of Florida,670.0,690.0,680.0,31.0
University of Miami,700.0,720.0,690.0,32.0
University of North Florida,620.0,610.0,590.0,26.0
Rollins College,640.0,650.0,650.0,29.0
University of South Florida-Main Campus,620.0,640.0,610.0,28.0
St Thomas University,510.0,500.0,490.0,21.0
Stetson University,640.0,630.0,610.0,28.0
Southeastern University,550.0,530.0,530.0,23.0
The University of Tampa,570.0,580.0,560.0,26.0
The University of West Florida,570.0,560.0,540.0,26.0
Berry College,640.0,630.0,610.0,29.0
Brewton-Parker College,490.0,500.0,480.0,20.0
Clayton  State University,520.0,510.0,500.0,21.0
Columbus State University,550.0,540.0,530.0,23.0
Covenant College,670.0,630.0,650.0,28.0
Emory University,710.0,750.0,730.0,32.0
Georgia Institute of Technology-Main Campus,700.0,760.0,700.0,32.0
Georgia College and State University,610.0,620.0,600.0,26.0
Georgia Southern University,590.0,600.0,570.0,25.0
University of Georgia,660.0,670.0,670.0,30.0
Kennesaw State University,590.0,580.0,570.0,24.0
Morehouse College,550.0,560.0,550.0,23.0
Oglethorpe University,630.0,610.0,610.0,27.0
Paine College,430.0,440.0,410.0,18.0
Savannah State University,460.0,460.0,450.0,19.0
Shorter University,530.0,530.0,500.0,23.0
Truett-McConnell College,530.0,520.0,520.0,22.0
Valdosta State University,570.0,550.0,540.0,24.0
Wesleyan College,570.0,560.0,540.0,22.0
University of West Georgia,520.0,510.0,510.0,22.0
University of Hawaii at Hilo,540.0,550.0,510.0,23.0
University of Hawaii at Manoa,580.0,610.0,570.0,27.0
University of Hawaii-West Oahu,480.0,500.0,470.0,22.0
University of Idaho,590.0,590.0,570.0,26.0
The College of Idaho,570.0,590.0,570.0,27.0
Northwest Nazarene University,590.0,570.0,570.0,28.0
Bradley University,640.0,630.0,620.0,28.0
University of Chicago,800.0,790.0,780.0,35.0
Eureka College,665.0,650.0,585.0,26.0
Greenville College,550.0,595.0,570.0,25.0
University of Illinois at Urbana-Champaign,670.0,780.0,670.0,31.0
Illinois College,540.0,580.0,510.0,25.0
Illinois Institute of Technology,640.0,740.0,640.0,30.0
Lake Forest College,620.0,620.0,610.0,28.0
Lewis University,550.0,590.0,540.0,26.0
Loyola University Chicago,630.0,630.0,630.0,29.0
McKendree University,520.0,530.0,520.0,25.0
Millikin University,570.0,580.0,590.0,26.0
Monmouth College,540.0,510.0,570.0,25.0
Northern Illinois University,550.0,580.0,530.0,24.0
Northwestern University,760.0,790.0,770.0,34.0
Rockford University,553.0,665.0,528.0,25.0
Roosevelt University,630.0,590.0,580.0,25.0
Dominican University,540.0,620.0,570.0,24.0
University of St Francis,610.0,620.0,600.0,25.0
Saint Xavier University,570.0,545.0,540.0,24.0
Southern Illinois University-Edwardsville,580.0,590.0,560.0,25.0
Trinity Christian College,640.0,630.0,610.0,25.0
Wheaton College,720.0,700.0,710.0,32.0
Ball State University,590.0,570.0,570.0,24.0
Bethel College-Indiana,550.0,580.0,550.0,27.0
Butler University,630.0,640.0,630.0,30.0
Calumet College of Saint Joseph,460.0,480.0,442.0,20.0
DePauw University,650.0,680.0,630.0,29.0
Earlham College,700.0,640.0,640.0,31.0
University of Evansville,600.0,620.0,600.0,29.0
Franklin College,550.0,560.0,540.0,24.0
Hanover College,600.0,600.0,570.0,28.0
Holy Cross College,550.0,530.0,520.0,26.0
Huntington University,570.0,560.0,550.0,27.0
Indiana University-Purdue University-Fort Wayne,540.0,550.0,520.0,24.0
Indiana University-Purdue University-Indianapolis,550.0,570.0,540.0,25.0
University of Indianapolis,550.0,560.0,540.0,25.0
University of Southern Indiana,550.0,560.0,530.0,24.0
Indiana State University,510.0,510.0,490.0,22.0
Indiana University-Kokomo,520.0,520.0,510.0,23.0
Indiana University-South Bend,530.0,530.0,500.0,23.0
Indiana University-Bloomington,630.0,660.0,620.0,30.0
Indiana University-Northwest,510.0,510.0,500.0,23.0
Indiana University-Southeast,530.0,520.0,510.0,23.0
Indiana University-East,520.0,510.0,490.0,23.0
Manchester University,560.0,570.0,540.0,25.0
Indiana Wesleyan University,580.0,590.0,570.0,27.0
Oakland City University,530.0,540.0,520.0,24.0
Purdue University-North Central Campus,520.0,530.0,510.0,23.0
University of Saint Francis-Fort Wayne,530.0,530.0,520.0,23.0
Saint Mary-of-the-Woods College,520.0,500.0,510.0,22.0
Saint Mary's College,610.0,600.0,600.0,28.0
Taylor University,660.0,650.0,620.0,31.0
Valparaiso University,590.0,620.0,580.0,29.0
Coe College,693.0,670.0,660.0,28.0
Cornell College,670.0,650.0,630.0,29.0
Dordt College,610.0,630.0,590.0,28.0
Grand View University,450.0,480.0,440.0,23.0
Iowa Wesleyan College,468.0,508.0,445.0,24.0
Luther College,610.0,638.0,580.0,29.0
Northwestern College,605.0,580.0,560.0,27.0
Wartburg College,540.0,590.0,520.0,26.0
Baker University,545.0,600.0,555.0,26.0
Bethany College,510.0,510.0,470.0,23.0
Bethel College-North Newton,520.0,580.0,510.0,26.0
Newman University,610.0,530.0,560.0,27.0
Ottawa University-Ottawa,530.0,550.0,470.0,25.0
Southwestern College,548.0,548.0,485.0,25.0
Sterling College,540.0,500.0,540.0,25.0
Alice Lloyd College,500.0,540.0,560.0,24.0
Berea College,630.0,610.0,610.0,26.0
Campbellsville University,505.0,525.0,520.0,24.0
Centre College,670.0,680.0,670.0,31.0
Eastern Kentucky University,560.0,550.0,530.0,24.0
Kentucky State University,450.0,448.0,420.0,20.0
Kentucky Wesleyan College,540.0,555.0,660.0,25.0
Kentucky Christian University,510.0,550.0,480.0,24.0
University of Louisville,580.0,610.0,580.0,28.0
Mid-Continent University,500.0,500.0,480.0,24.0
Midway College,610.0,570.0,590.0,25.0
Morehead State University,545.0,570.0,540.0,25.0
Louisiana College,460.0,500.0,480.0,23.0
Nicholls State University,537.0,607.0,520.0,24.0
Southern University at New Orleans,650.0,640.0,610.0,18.0
Tulane University of Louisiana,700.0,700.0,720.0,32.0
Xavier University of Louisiana,560.0,550.0,530.0,26.0
Bowdoin College,760.0,750.0,770.0,33.0
Colby College,710.0,720.0,720.0,32.0
Husson University,530.0,550.0,530.0,21.0
University of Maine at Fort Kent,500.0,500.0,500.0,27.0
University of Maine at Machias,530.0,520.0,510.0,25.0
University of Maine,590.0,610.0,580.0,26.0
Maine Maritime Academy,550.0,580.0,530.0,24.0
University of Southern Maine,550.0,560.0,540.0,25.0
Thomas College,490.0,510.0,480.0,21.0
Bowie State University,490.0,470.0,470.0,20.0
Frostburg State University,530.0,540.0,510.0,22.0
Hood College,580.0,580.0,550.0,25.0
Johns Hopkins University,740.0,770.0,750.0,34.0
University of Maryland-Baltimore County,640.0,670.0,640.0,29.0
University of Maryland Eastern Shore,480.0,480.0,460.0,19.0
Morgan State University,490.0,490.0,480.0,19.0
Mount St Mary's University,600.0,580.0,590.0,23.0
Salisbury University,610.0,620.0,610.0,26.0
St Mary's College of Maryland,670.0,650.0,650.0,30.0
Towson University,580.0,590.0,580.0,25.0
Stevenson University,540.0,560.0,540.0,23.0
Washington College,640.0,640.0,610.0,29.0
American International College,490.0,500.0,490.0,21.0
Amherst College,760.0,770.0,760.0,34.0
Bay Path College,550.0,540.0,530.0,22.0
Becker College,550.0,570.0,530.0,24.0
Bentley University,630.0,680.0,650.0,30.0
Boston College,710.0,740.0,730.0,33.0
Boston University,670.0,720.0,690.0,30.0
Brandeis University,710.0,760.0,720.0,32.0
Eastern Nazarene College,550.0,530.0,540.0,24.0
Emerson College,670.0,650.0,670.0,30.0
Emmanuel College,590.0,590.0,600.0,26.0
Endicott College,570.0,590.0,570.0,25.0
Fitchburg State University,540.0,550.0,530.0,22.0
Framingham State University,560.0,570.0,560.0,25.0
Gordon College,653.0,639.0,648.0,29.0
Harvard University,800.0,800.0,800.0,35.0
Lesley University,600.0,570.0,590.0,26.0
Massachusetts Institute of Technology,770.0,800.0,780.0,35.0
Massachusetts Maritime Academy,550.0,600.0,530.0,24.0
Mount Ida College,490.0,490.0,490.0,20.0
Nichols College,500.0,530.0,492.0,23.0
Northeastern University,730.0,750.0,720.0,33.0
College of Our Lady of the Elms,520.0,520.0,530.0,22.0
Simmons College,630.0,620.0,640.0,28.0
University of Massachusetts-Dartmouth,570.0,590.0,560.0,25.0
Stonehill College,610.0,620.0,620.0,28.0
Suffolk University,560.0,570.0,560.0,25.0
Tufts University,750.0,770.0,770.0,33.0
Wellesley College,760.0,750.0,760.0,33.0
Wentworth Institute of Technology,580.0,630.0,560.0,27.0
Wheelock College,550.0,540.0,540.0,25.0
Williams College,780.0,780.0,780.0,34.0
Worcester State University,550.0,560.0,540.0,24.0
Alma College,550.0,630.0,630.0,27.0
Andrews University,620.0,600.0,580.0,26.0
University of Detroit Mercy,610.0,640.0,610.0,28.0
Eastern Michigan University,570.0,570.0,540.0,24.0
Cornerstone University,605.0,570.0,593.0,26.0
Grand Valley State University,590.0,620.0,585.0,26.0
Kalamazoo College,670.0,690.0,650.0,30.0
Lake Superior State University,570.0,590.0,570.0,25.0
Lawrence Technological University,630.0,630.0,580.0,28.0
Madonna University,630.0,640.0,570.0,25.0
University of Michigan-Ann Arbor,720.0,760.0,730.0,32.0
Michigan State University,580.0,690.0,580.0,28.0
Michigan Technological University,650.0,680.0,615.0,29.0
University of Michigan-Flint,675.0,648.0,673.0,24.0
Kuyper College,550.0,580.0,560.0,25.0
Spring Arbor University,575.0,570.0,540.0,26.0
Carleton College,750.0,770.0,750.0,33.0
Concordia University-Saint Paul,550.0,560.0,540.0,24.0
Hamline University,640.0,600.0,610.0,27.0
Macalester College,740.0,710.0,720.0,32.0
University of Minnesota-Twin Cities,690.0,740.0,670.0,30.0
University of Minnesota-Crookston,500.0,530.0,510.0,24.0
University of Minnesota-Duluth,590.0,620.0,570.0,26.0
University of Minnesota-Morris,690.0,640.0,640.0,28.0
College of Saint Benedict,570.0,608.0,595.0,28.0
Saint Johns University,610.0,625.0,575.0,28.0
St Olaf College,710.0,710.0,690.0,31.0
The College of Saint Scholastica,530.0,500.0,510.0,26.0
Blue Mountain College,540.0,470.0,590.0,25.0
Rust College,360.0,440.0,360.0,14.0
Central Methodist University-College of Liberal Arts and Sciences,480.0,540.0,470.0,24.0
Drury University,650.0,615.0,605.0,28.0
Evangel University,600.0,570.0,590.0,26.0
Fontbonne University,600.0,610.0,590.0,25.0
Lindenwood University,550.0,580.0,520.0,25.0
Missouri Valley College,440.0,460.0,460.0,21.0
College of the Ozarks,560.0,548.0,548.0,25.0
Stephens College,630.0,580.0,590.0,26.0
Washington University in St Louis,760.0,790.0,770.0,34.0
Webster University,650.0,600.0,590.0,27.0
Westminster College,550.0,610.0,530.0,27.0
Carroll College,620.0,610.0,590.0,26.0
Montana Tech of the University of Montana,620.0,610.0,580.0,27.0
Montana State University,630.0,630.0,600.0,27.0
The University of Montana,620.0,590.0,590.0,26.0
Montana State University-Northern,490.0,505.0,485.0,22.0
Rocky Mountain College,560.0,570.0,555.0,25.0
Creighton University,640.0,660.0,620.0,30.0
Doane College-Crete,515.0,535.0,490.0,26.0
Grace University,465.0,528.0,498.0,24.0
University of Nevada-Las Vegas,550.0,560.0,530.0,24.0
University of Nevada-Reno,590.0,600.0,560.0,26.0
Dartmouth College,780.0,780.0,790.0,34.0
Franklin Pierce University,530.0,550.0,520.0,21.0
Plymouth State University,530.0,540.0,520.0,23.0
Rivier University,500.0,510.0,510.0,21.0
Saint Anselm College,610.0,620.0,620.0,27.0
Centenary College,540.0,550.0,540.0,23.0
Drew University,610.0,610.0,610.0,27.0
Felician College,480.0,500.0,480.0,23.0
Monmouth University,560.0,590.0,570.0,25.0
New Jersey Institute of Technology,590.0,660.0,590.0,29.0
Princeton University,800.0,800.0,790.0,35.0
Ramapo College of New Jersey,590.0,610.0,590.0,26.0
Rider University,570.0,580.0,570.0,25.0
Saint Peter's University,490.0,510.0,490.0,21.0
Seton Hall University,600.0,620.0,600.0,27.0
The Richard Stockton College of New Jersey,570.0,600.0,570.0,24.0
New Mexico State University-Main Campus,540.0,540.0,520.0,24.0
Adelphi University,600.0,620.0,610.0,24.0
Barnard College,730.0,710.0,740.0,32.0
Clarkson University,620.0,665.0,600.0,28.0
Columbia University in the City of New York,780.0,790.0,780.0,34.0
Concordia College-New York,500.0,505.0,480.0,20.0
Cooper Union for the Advancement of Science and Art,710.0,780.0,730.0,33.0
Cornell University,740.0,780.0,750.0,34.0
D'Youville College,580.0,560.0,540.0,25.0
Dominican College of Blauvelt,490.0,480.0,480.0,23.0
Fordham University,670.0,680.0,680.0,30.0
Hamilton College,730.0,740.0,730.0,33.0
Hartwick College,620.0,610.0,600.0,27.0
Houghton College,630.0,605.0,600.0,28.0
LIU Brooklyn,500.0,540.0,500.0,22.0
LIU Post,520.0,540.0,530.0,23.0
Manhattan College,580.0,610.0,580.0,27.0
Marymount Manhattan College,590.0,560.0,590.0,26.0
Molloy College,560.0,580.0,570.0,25.0
College of Mount Saint Vincent,500.0,500.0,510.0,23.0
The College of New Rochelle,520.0,535.0,510.0,25.0
New York University,720.0,740.0,730.0,32.0
Polytechnic Institute of New York University,660.0,740.0,650.0,32.0
Roberts Wesleyan College,590.0,580.0,560.0,25.0
Rochester Institute of Technology,640.0,680.0,630.0,31.0
University of Rochester,700.0,750.0,700.0,32.0
St Bonaventure University,580.0,600.0,570.0,27.0
St Thomas Aquinas College,520.0,530.0,510.0,20.0
Siena College,600.0,620.0,590.0,27.0
Skidmore College,680.0,670.0,690.0,30.0
Saint Joseph's College-New York,570.0,580.0,560.0,25.0
Saint John Fisher College,570.0,600.0,560.0,27.0
SUNY at Binghamton,675.0,710.0,670.0,30.0
Stony Brook University,650.0,700.0,650.0,30.0
SUNY College at Brockport,570.0,590.0,550.0,26.0
State University of New York at New Paltz,610.0,610.0,600.0,27.0
SUNY Oneonta,580.0,600.0,580.0,25.0
SUNY at Purchase College,600.0,580.0,600.0,26.0
SUNY College at Old Westbury,530.0,550.0,520.0,22.0
SUNY Maritime College,570.0,600.0,560.0,26.0
Syracuse University,620.0,650.0,630.0,28.0
Union College,680.0,720.0,690.0,31.0
Utica College,520.0,530.0,500.0,23.0
Vassar College,740.0,730.0,750.0,33.0
Wagner College,630.0,640.0,620.0,27.0
Wells College,600.0,590.0,560.0,26.0
Yeshiva University,680.0,690.0,670.0,29.0
Appalachian State University,620.0,620.0,590.0,28.0
Barton College,500.0,520.0,480.0,22.0
Campbell University,655.0,645.0,650.0,27.0
Chowan University,430.0,440.0,420.0,17.0
Davidson College,730.0,710.0,710.0,33.0
Duke University,760.0,790.0,780.0,34.0
East Carolina University,550.0,570.0,540.0,24.0
Elizabeth City State University,450.0,470.0,440.0,18.0
Elon University,660.0,660.0,660.0,26.0
Fayetteville State University,450.0,470.0,430.0,19.0
Gardner-Webb University,550.0,570.0,550.0,25.0
Greensboro College,500.0,520.0,480.0,21.0
Guilford College,610.0,580.0,580.0,26.0
High Point University,580.0,600.0,580.0,26.0
Livingstone College,410.0,410.0,390.0,16.0
Methodist University,520.0,540.0,490.0,23.0
North Carolina A & T State University,480.0,500.0,470.0,21.0
University of North Carolina at Asheville,650.0,640.0,620.0,27.0
University of North Carolina at Chapel Hill,700.0,710.0,690.0,32.0
University of North Carolina at Charlotte,560.0,600.0,550.0,25.0
University of North Carolina at Greensboro,560.0,560.0,540.0,25.0
North Carolina Central University,460.0,470.0,450.0,19.0
North Carolina State University at Raleigh,640.0,670.0,620.0,30.0
University of North Carolina Wilmington,620.0,630.0,600.0,26.0
University of North Carolina at Pembroke,500.0,510.0,480.0,21.0
Pfeiffer University,520.0,540.0,500.0,22.0
Queens University of Charlotte,560.0,580.0,560.0,26.0
St Andrews University,510.0,530.0,490.0,23.0
Warren Wilson College,660.0,590.0,610.0,27.0
Wingate University,550.0,570.0,530.0,24.0
Winston-Salem State University,470.0,490.0,460.0,19.0
Western Carolina University,560.0,570.0,530.0,24.0
Dickinson State University,533.0,505.0,475.0,23.0
University of North Dakota,590.0,610.0,550.0,26.0
North Dakota State University-Main Campus,625.0,650.0,580.0,26.0
Valley City State University,460.0,510.0,440.0,23.0
Ashland University,550.0,550.0,530.0,25.0
Bowling Green State University-Main Campus,560.0,570.0,580.0,24.0
Capital University,600.0,610.0,580.0,27.0
Case Western Reserve University,720.0,760.0,710.0,33.0
Cedarville University,640.0,640.0,630.0,29.0
University of Cincinnati-Main Campus,620.0,640.0,600.0,28.0
Ohio Christian University,490.0,490.0,470.0,23.0
University of Dayton,600.0,630.0,590.0,29.0
The University of Findlay,570.0,580.0,560.0,26.0
Hiram College,600.0,580.0,560.0,25.0
John Carroll University,590.0,600.0,600.0,27.0
Kent State University at Kent,570.0,570.0,560.0,25.0
Kenyon College,720.0,690.0,730.0,32.0
Lake Erie College,520.0,540.0,515.0,23.0
Muskingum University,520.0,540.0,500.0,24.0
Oberlin College,740.0,715.0,730.0,32.0
Ohio Dominican University,540.0,580.0,520.0,24.0
Ohio Northern University,620.0,650.0,620.0,29.0
Ohio State University-Main Campus,660.0,720.0,660.0,31.0
Ohio University-Main Campus,600.0,600.0,580.0,26.0
Ohio Wesleyan University,620.0,630.0,610.0,27.0
Otterbein University,590.0,585.0,570.0,26.0
University of Toledo,570.0,600.0,560.0,25.0
Ursuline College,630.0,580.0,600.0,24.0
The College of Wooster,670.0,660.0,650.0,30.0
Xavier University,600.0,610.0,590.0,27.0
Oklahoma Wesleyan University,520.0,560.0,500.0,24.0
Oklahoma Christian University,620.0,610.0,570.0,28.0
Oklahoma City University,620.0,610.0,620.0,29.0
Southwestern Christian University,575.0,605.0,570.0,23.0
George Fox University,600.0,600.0,590.0,26.0
Lewis & Clark College,700.0,670.0,690.0,31.0
Linfield College-McMinnville Campus,600.0,600.0,570.0,26.0
Northwest Christian University,535.0,530.0,540.0,23.0
Oregon Institute of Technology,550.0,580.0,530.0,25.0
Reed College,750.0,720.0,720.0,33.0
Corban University,590.0,590.0,568.0,26.0
Willamette University,660.0,650.0,640.0,29.0
Bryn Athyn College of the New Church,580.0,550.0,530.0,25.0
Allegheny College,640.0,650.0,630.0,29.0
Alvernia University,530.0,540.0,530.0,22.0
Arcadia University,600.0,578.0,590.0,27.0
Bloomsburg University of Pennsylvania,530.0,550.0,530.0,23.0
Bryn Mawr College,710.0,760.0,720.0,32.0
Bucknell University,680.0,720.0,690.0,32.0
Cabrini College,500.0,500.0,500.0,23.0
California University of Pennsylvania,530.0,540.0,510.0,21.0
Carlow University,525.0,510.0,520.0,23.0
Carnegie Mellon University,740.0,790.0,750.0,34.0
Cedar Crest College,520.0,530.0,510.0,24.0
Chestnut Hill College,540.0,520.0,520.0,23.0
Delaware Valley College,563.0,560.0,540.0,25.0
Dickinson College,675.0,690.0,680.0,31.0
Drexel University,630.0,680.0,630.0,30.0
Duquesne University,600.0,610.0,600.0,27.0
Eastern University,570.0,570.0,560.0,24.0
Edinboro University of Pennsylvania,520.0,520.0,500.0,22.0
Geneva College,590.0,600.0,570.0,26.0
Gwynedd Mercy University,520.0,530.0,520.0,22.0
Haverford College,750.0,740.0,750.0,33.0
Holy Family University,510.0,510.0,510.0,22.0
Immaculata University,530.0,520.0,530.0,21.0
Indiana University of Pennsylvania-Main Campus,530.0,540.0,520.0,22.0
Keystone College,500.0,500.0,490.0,21.0
Kutztown University of Pennsylvania,520.0,530.0,510.0,22.0
La Roche College,520.0,520.0,470.0,24.0
Lafayette College,670.0,700.0,690.0,31.0
Lincoln University of Pennsylvania,470.0,470.0,460.0,20.0
Lock Haven University,510.0,520.0,500.0,23.0
Lycoming College,570.0,580.0,550.0,26.0
Mansfield University of Pennsylvania,530.0,540.0,500.0,23.0
Mercyhurst University,580.0,580.0,560.0,26.0
Messiah College,620.0,640.0,620.0,29.0
Millersville University of Pennsylvania,550.0,560.0,540.0,24.0
Mount Aloysius College,490.0,510.0,490.0,22.0
Muhlenberg College,670.0,670.0,670.0,31.0
Neumann University,470.0,480.0,470.0,20.0
Pennsylvania State University-Penn State Erie-Behrend College,560.0,600.0,540.0,25.0
Pennsylvania State University-Penn State New Kensington,550.0,570.0,520.0,27.0
Pennsylvania State University-Penn State Shenango,480.0,510.0,480.0,22.0
Pennsylvania State University-Penn State Wilkes-Barre,550.0,570.0,500.0,23.0
Pennsylvania State University-Penn State Worthington Scranton,520.0,530.0,500.0,22.0
Pennsylvania State University-Penn State Lehigh Valley,550.0,570.0,530.0,28.0
Pennsylvania State University-Penn State Altoona,530.0,560.0,530.0,23.0
Pennsylvania State University-Penn State Beaver,530.0,540.0,500.0,24.0
Pennsylvania State University-Penn State Berks,530.0,570.0,520.0,25.0
Pennsylvania State University-Penn State Harrisburg,550.0,600.0,540.0,24.0
Pennsylvania State University-Penn State Brandywine,520.0,560.0,530.0,23.0
Pennsylvania State University-Penn State Dubois,520.0,550.0,505.0,22.0
Pennsylvania State University-Penn State Fayette- Eberly,520.0,550.0,500.0,21.0
Pennsylvania State University-Penn State Hazleton,520.0,540.0,500.0,24.0
Pennsylvania State University-Main Campus,630.0,670.0,640.0,29.0
Pennsylvania State University-Penn State Greater Allegheny,520.0,560.0,500.0,24.0
Pennsylvania State University-Penn State Mont Alto,530.0,555.0,510.0,23.0
Pennsylvania State University-Penn State Abington,510.0,550.0,510.0,24.0
Pennsylvania State University-Penn State Schuylkill,485.0,490.0,470.0,21.0
Pennsylvania State University-Penn State York,540.0,570.0,520.0,25.0
University of Pennsylvania,760.0,780.0,780.0,34.0
Philadelphia University,570.0,590.0,570.0,25.0
University of Pittsburgh-Bradford,530.0,550.0,520.0,23.0
University of Pittsburgh-Greensburg,540.0,560.0,530.0,24.0
University of Pittsburgh-Johnstown,550.0,570.0,540.0,24.0
University of Pittsburgh-Pittsburgh Campus,660.0,680.0,660.0,30.0
Point Park University,560.0,540.0,550.0,25.0
Robert Morris University,550.0,590.0,550.0,24.0
Saint Francis University,510.0,590.0,560.0,25.0
Saint Joseph's University,590.0,610.0,600.0,26.0
Saint Vincent College,570.0,580.0,570.0,25.0
Seton Hill University,570.0,580.0,570.0,26.0
Shippensburg University of Pennsylvania,530.0,550.0,520.0,22.0
Slippery Rock University of Pennsylvania,540.0,550.0,530.0,23.0
Susquehanna University,620.0,610.0,610.0,27.0
Swarthmore College,760.0,770.0,770.0,34.0
Temple University,610.0,620.0,610.0,27.0
Ursinus College,640.0,640.0,640.0,30.0
Villanova University,690.0,710.0,690.0,31.0
Westminster College,580.0,570.0,560.0,25.0
Wilson College,570.0,550.0,560.0,24.0
York College Pennsylvania,560.0,578.0,550.0,25.0
Brown University,760.0,780.0,770.0,34.0
Bryant University,590.0,630.0,590.0,27.0
Providence College,620.0,640.0,640.0,28.0
Rhode Island College,520.0,520.0,520.0,22.0
University of Rhode Island,580.0,590.0,580.0,26.0
Salve Regina University,590.0,600.0,600.0,26.0
Anderson University,600.0,580.0,580.0,26.0
Southern Wesleyan University,540.0,510.0,510.0,22.0
Citadel Military College of South Carolina,590.0,600.0,560.0,25.0
Clemson University,660.0,680.0,610.0,31.0
Columbia International University,620.0,580.0,590.0,25.0
Francis Marion University,530.0,530.0,500.0,22.0
Lander University,530.0,520.0,500.0,22.0
Newberry College,520.0,540.0,500.0,22.0
North Greenville University,670.0,670.0,660.0,29.0
University of South Carolina-Aiken,540.0,540.0,520.0,23.0
Wofford College,620.0,640.0,620.0,29.0
Black Hills State University,635.0,594.0,510.0,23.0
Presentation College,470.0,470.0,450.0,22.0
