Name,SAT Critical Reading mean score,SAT Math mean score,SAT Writing mean score,ACT Composite mean score
Illinois Institute of Technology,580.0,690.0,580.0,27.5
Lake Forest College,565.0,565.0,560.0,25.5
Lewis University,495.0,535.0,490.0,23.5
Loyola University Chicago,575.0,580.0,575.0,26.5
McKendree University,485.0,510.0,475.0,22.5
Millikin University,530.0,510.0,520.0,23.5
Monmouth College,515.0,490.0,525.0,22.5
Northern Illinois University,500.0,515.0,480.0,21.5
Northwestern University,725.0,745.0,730.0,32.5
Rockford University,458.0,559.0,469.0,22.0
Roosevelt University,555.0,515.0,530.0,22.0
Dominican University,515.0,550.0,530.0,22.0
University of St Francis,545.0,530.0,530.0,23.0
Saint Xavier University,512.5,492.5,497.5,21.5
Southern Illinois University-Edwardsville,525.0,535.0,510.0,22.5
Trinity Christian College,545.0,545.0,520.0,22.5
Wheaton College,660.0,655.0,655.0,29.5
Ball State University,540.0,530.0,525.0,22.0
Bethel College-Indiana,495.0,520.0,490.0,23.5
Butler University,580.0,585.0,575.0,27.5
Calumet College of Saint Joseph,425.0,435.0,391.0,17.5
DePauw University,585.0,615.0,580.0,27.0
Earlham College,645.0,600.0,580.0,28.5
University of Evansville,545.0,560.0,540.0,26.0
Franklin College,500.0,510.0,485.0,21.5
Hanover College,545.0,555.0,525.0,25.5
Holy Cross College,495.0,480.0,460.0,22.5
Huntington University,505.0,500.0,486.5,24.0
Indiana University-Purdue University-Fort Wayne,490.0,500.0,475.0,21.5
Indiana University-Purdue University-Indianapolis,495.0,510.0,485.0,22.0
University of Indianapolis,500.0,510.0,490.0,22.0
University of Southern Indiana,495.0,505.0,480.0,21.5
Indiana State University,455.0,455.0,440.0,19.0
Indiana University-Kokomo,475.0,470.0,460.0,20.5
Indiana University-South Bend,480.0,480.0,450.0,20.5
Indiana University-Bloomington,575.0,600.0,565.0,27.0
Indiana University-Northwest,450.0,450.0,445.0,20.0
Indiana University-Southeast,475.0,475.0,460.0,20.0
Indiana University-East,465.0,460.0,445.0,20.5
Manchester University,500.0,510.0,480.0,22.0
Indiana Wesleyan University,525.0,535.0,515.0,24.0
Oakland City University,480.0,490.0,465.0,21.5
Purdue University-North Central Campus,475.0,480.0,460.0,20.0
