Name,SAT Critical Reading mean score,SAT Math mean score,SAT Writing mean score,ACT Composite mean score
Wofford College,580.0,590.0,570.0,26.5
Black Hills State University,529.0,512.0,459.0,21.0
Presentation College,425.0,440.0,395.0,20.0
University of Sioux Falls,430.0,460.0,455.0,23.0
Bryan College-Dayton,525.0,535.0,520.0,22.5
Cumberland University,480.0,480.0,475.0,21.0
Fisk University,425.0,435.0,425.0,17.5
Lane College,435.0,405.0,660.0,14.5
University of Memphis,525.0,530.0,515.0,22.0
Milligan College,531.5,521.5,525.0,24.0
Sewanee-The University of the South,625.0,605.0,620.0,28.0
Southern Adventist University,535.0,515.0,525.0,22.5
Vanderbilt University,740.0,750.0,725.0,33.0
Abilene Christian University,525.0,545.0,505.0,24.0
Austin College,600.0,615.0,575.0,25.0
Baylor University,605.0,620.0,585.0,26.5
Texas A & M University-Corpus Christi,470.0,495.0,450.0,20.0
University of Dallas,615.0,595.0,595.0,27.0
Texas A & M University-Texarkana,485.0,510.0,470.0,21.0
Hardin-Simmons University,500.0,520.0,480.0,22.5
Houston Baptist University,525.0,540.0,505.0,24.0
Lubbock Christian University,500.0,510.0,490.0,21.5
University of Mary Hardin-Baylor,510.0,530.0,480.0,24.0
Midwestern State University,490.0,505.0,470.0,21.0
The University of Texas-Pan American,460.0,490.0,450.0,19.5
Paul Quinn College,400.0,405.0,435.0,15.5
Prairie View A & M University,415.0,430.0,405.0,17.5
Rice University,715.0,745.0,720.0,32.5
Saint Edward's University,560.0,560.0,545.0,24.0
University of St Thomas,540.0,565.0,535.5,25.5
Schreiner University,485.0,500.0,470.0,21.5
St Mary's University,520.0,530.0,497.5,22.5
Southern Methodist University,645.0,660.0,635.0,29.0
Stephen F Austin State University,485.0,505.0,470.0,21.5
Texas State University,510.0,525.0,490.0,23.0
Sul Ross State University,425.0,440.0,415.0,18.0
Tarleton State University,480.0,500.0,455.0,21.0
Texas A & M University-College Station,575.0,605.0,550.0,26.0
The University of Texas at Arlington,520.0,560.0,505.0,23.0
The University of Texas at Austin,610.0,650.0,615.0,28.0
The University of Texas at Tyler,515.0,544.0,500.0,23.0
Texas Christian University,580.0,600.0,590.0,27.0
Texas Lutheran University,505.0,530.0,485.0,22.5
The University of Texas at San Antonio,510.0,540.0,490.0,22.5
Texas Southern University,410.0,425.0,395.0,17.0
Texas Tech University,540.0,570.0,515.0,24.5
Texas Wesleyan University,505.0,510.0,471.5,20.5
Texas Woman's University,470.0,485.0,460.0,20.0
Wayland Baptist University,455.0,470.0,425.0,20.0
Southern Utah University,520.0,520.0,495.0,23.0
University of Utah,551.5,574.0,545.0,24.0
Castleton State College,470.0,485.0,455.0,20.0
Champlain College,560.0,555.0,545.0,25.0
Johnson State College,485.0,470.0,470.0,19.0
Lyndon State College,465.0,465.0,455.0,19.5
Middlebury College,685.0,690.0,700.0,32.0
Saint Michael's College,590.0,585.0,580.0,25.5
College of St Joseph,417.5,427.5,435.0,17.0
Southern Vermont College,445.0,440.0,439.0,18.0
Vermont Technical College,465.0,480.0,455.0,18.5
University of Vermont,590.0,595.0,595.0,26.5
Averett University,470.0,475.0,430.0,19.5
Bridgewater College,510.0,520.0,490.0,22.5
College of William and Mary,690.0,675.0,670.0,30.0
Emory & Henry College,495.0,505.0,475.0,21.5
Eastern Mennonite University,500.5,495.0,486.5,21.5
Ferrum College,440.0,440.0,420.0,17.0
Hampden-Sydney College,547.5,562.5,527.5,24.5
Lynchburg College,500.0,500.0,490.0,21.5
Mary Baldwin College,490.0,455.0,475.0,21.5
University of Mary Washington,565.0,545.0,545.0,24.0
Marymount University,520.0,510.0,510.0,22.0
Norfolk State University,440.0,440.0,420.0,18.0
Radford University,495.0,495.0,480.0,20.0
Randolph-Macon College,540.0,540.0,530.0,23.5
Randolph College,550.0,535.0,535.0,24.5
University of Richmond,640.0,670.0,645.0,29.5
Roanoke College,545.0,540.0,535.0,23.5
Shenandoah University,495.0,510.0,490.0,22.5
Southern Virginia University,515.0,509.0,496.5,21.5
The University of Virginia's College at Wise,480.0,475.0,455.0,19.5
Virginia Commonwealth University,555.0,550.0,540.0,23.5
University of Virginia-Main Campus,670.0,685.0,670.0,31.0
Virginia Military Institute,570.0,580.0,545.0,24.5
Virginia State University,410.0,402.5,400.0,16.5
Washington and Lee University,695.0,690.0,690.0,31.5
Central Washington University,490.0,500.0,470.0,20.5
Eastern Washington University,480.0,490.0,465.0,20.5
The Evergreen State College,565.0,515.0,525.0,23.5
Northwest University,540.0,520.0,525.0,23.5
Pacific Lutheran University,550.0,550.0,530.0,25.0
University of Puget Sound,620.0,605.0,610.0,27.5
Saint Martin's University,525.0,540.0,515.0,22.0
Seattle Pacific University,575.0,560.0,560.0,25.5
Seattle University,580.0,580.0,575.0,26.5
Walla Walla University,530.0,530.0,510.0,23.5
Washington State University,510.0,520.0,495.0,22.0
University of Washington-Seattle Campus,585.0,645.0,585.0,27.5
Whitman College,670.0,651.5,654.0,30.0
Alderson Broaddus University,470.0,490.0,445.0,21.5
Bethany College,455.0,450.0,430.0,20.5
Bluefield State College,455.0,425.0,440.0,19.0
Concord University,480.0,470.0,465.0,21.0
Marshall University,500.0,485.0,485.0,22.0
Ohio Valley University,465.0,460.0,455.0,21.0
West Virginia State University,450.0,425.0,420.0,20.0
West Liberty University,455.0,480.0,440.0,21.0
West Virginia Wesleyan College,471.0,498.5,485.0,22.5
Wheeling Jesuit University,511.5,500.0,499.0,22.0
Concordia University-Wisconsin,489.5,538.0,444.0,22.5
Lakeland College,465.0,430.0,435.0,21.5
Maranatha Baptist University,520.0,480.0,505.0,23.0
Marquette University,575.0,600.0,575.0,27.0
Mount Mary University,521.5,529.0,457.5,20.0
Silver Lake College of the Holy Family,465.5,480.0,435.5,20.0
University of Wisconsin-Whitewater,525.0,535.0,505.0,22.0
University of Wisconsin-Madison,590.0,690.0,625.0,28.0
Stanford University,730.0,745.0,735.0,32.5
Purdue University-Main Campus,575.0,625.0,575.0,27.0
New College of Florida,670.0,615.0,635.0,28.5
University of Washington-Bothell Campus,495.0,525.0,475.0,21.0
University of Washington-Tacoma Campus,475.0,490.0,460.0,20.0
Soka University of America,570.0,640.0,585.0,27.0
Florida Gulf Coast University,510.0,510.0,500.0,22.0
Ave Maria University,540.0,530.0,530.0,23.0
University of South Florida-St Petersburg,540.0,530.0,515.0,23.0
University of South Florida-Sarasota-Manatee,541.0,530.0,530.0,23.5
The Kingâ€™s College,585.0,555.0,580.0,26.0
